index,old_id,message,empathy
100,47,fatigue and serene,"tired, calm"
101,48,overworked,"tired, stress, vulnerable"
102,49,tired and annoyed,"tired, annoyed"
103,49,fatigue and unhappy,"tired, annoyed"
104,50,tired and frustrated,"tired, annoyed"
105,51,tired but excited,"tired, excited"
106,52,tierd,tired
107,53,drowsy,tired
108,54,hot and tired,"tired, uneasy"
109,54,hot and fatigue,"tired, uneasy"
110,54,hot and fatigue,"tired, uneasy"
111,55,tired and unmotivated,"tired, unmotivated"
112,55,fatigue and unmotivated,"tired, unmotivated"
113,55,fatigue and unmotivated,"tired, unmotivated"
114,55,done and unmotivated,"tired, unmotivated"
115,55,done and unmotivated,"tired, unmotivated"
116,56,tired but calm,"tired, calm"
117,56,fatigue but quiet,"tired, calm"
118,56,fatigue but serene,"tired, calm"
119,57,tire,tired
120,58,😴,tired
121,59,tired and depressed,"tired, depressed"
122,59,fatigue and decreased,"tired, depressed"
123,60,tired sore,"tired, pain"
124,61,tired af,tired
125,61,fatigue af,tired
126,62,tired and worried,"tired, anxious"
127,62,fatigue and concerned,"tired, anxious"
128,63,tired and aggravated,"tired, flustered"
129,63,fatigue and made,"tired, flustered"
130,64,tired relaxed,"tired, calm"
131,64,fatigue relax,"tired, calm"
132,65,physically tired,tired
133,65,physically fatigue,tired
134,66,tired content,"tired, calm"
135,66,fatigue content,"tired, calm"
136,66,fatigue content,"tired, calm"
137,67,tired annoyed,"tired, annoyed"
138,67,fatigue unhappy,"tired, annoyed"
139,68,little bit tired,tired
140,68,little bit fatigue,tired
141,69,tires,tired
142,70,tiref,tired
143,71,mentally exhausted,tired
144,71,mentally weary,tired
145,72,tired numb,"tired, disconnected"
146,73,tired and drained,tired
147,73,fatigue and drained,tired
148,74,tired but pretty good,"tired, good"
149,75,tired and nervous,"tired, anxious"
150,76,tired but optimistic,"tired, hopeful"
151,76,fatigue but optimism,"tired, hopeful"
152,77,tired and irritated,"tired, annoyed"
153,77,fatigue and pissed,"tired, annoyed"
154,78,tired  sad,"tired, sad"
155,78,fatigue  bummed,"tired, sad"
156,79,im a little tired,tired
157,79,im a little fatigue,tired
158,80,kind of tired,tired
159,81,tired but fine,"tired, okay"
160,81,fatigue but ok,"tired, okay"
161,82,i feel tired but happy,"tired, happy"
162,82,i feel fatigue but upbeat,"tired, happy"
163,83,tied,tired
164,84,i feel drained,tired
165,85,tired and confused,"tired, confused"
166,86,tired exhausted,tired
167,86,fatigue exhausted,tired
168,86,done exhausted,tired
169,87,tired but fulfilled,"tired, stable, calm"
170,87,fatigue but made,"tired, stable, calm"
171,87,fatigue but made,"tired, stable, calm"
172,87,fatigue but satisfied,"tired, stable, calm"
173,87,fatigue but satisfied,"tired, stable, calm"
174,88,tired and a bit frustrated,"tired, annoyed"
175,89,kinda tired,tired
176,89,kinda fatigue,tired
177,90,not tired,engaged
178,90,not fatigue,engaged
179,91,tired but accomplished,"tired, confidence"
180,91,fatigue but accomplished,"tired, confidence"
181,91,fatigue but accomplished,"tired, confidence"
182,92,exhausted and frustrated,"tired, annoyed"
183,93,tired happy,"tired, happy"
184,94,extremely tired,tired
185,94,extremely fatigue,tired
186,95,a bit tired but fine,"tired, okay"
187,95,a bit fatigue but ok,"tired, okay"
188,95,a bit fatigue but got,"tired, okay"
189,95,a bit fatigue but nice,"tired, okay"
190,96,i am feeling tired,tired
191,96,i am feeling fatigue,tired
192,97,foggy,"tired, uneasy"
193,97,hazy,"tired, uneasy"
194,98,tired and weird,"tired, uneasy, confused"
195,98,fatigue and bizarre,"tired, uneasy, confused"
196,98,fatigue and crazy,"tired, uneasy, confused"
197,98,fatigue and strange,"tired, uneasy, confused"
198,98,fatigue and bizarre,"tired, uneasy, confused"
199,98,fatigue and crazy,"tired, uneasy, confused"
200,98,fatigue and strange,"tired, uneasy, confused"
201,99,fatigue,tired
202,99,exhaustion,tired
203,99,tired,tired
204,100,good,good
205,101,happy,happy
206,102,great,great
207,102,formidable,great
208,102,neat,great
209,103,pretty good,great
210,104,i feel good,good
211,104,i feel right,good
212,105,[sticker369239263222822],good
213,106,satisfied,good
214,107,positive,great
215,107,positively,great
216,107,positives,great
217,108,optimistic,"great, hopeful"
218,108,optimism,"great, hopeful"
219,108,optimism,"great, hopeful"
220,109,very good,great
221,110,im good,good
222,111,motivated,great
223,111,motivational,great
224,111,motivate,great
225,112,well,good
226,112,nicely,good
227,112,fine,good
228,113,amazing,great
229,113,incredible,great
230,113,outstanding,great
231,113,terrific,great
232,114,im happy,great
233,115,im feeling good,good
234,115,im feeling got,good
235,115,im feeling right,good
236,116,grateful,great
237,117,really good,great
238,118,fantastic,great
239,118,outstanding,great
240,118,terrific,great
241,118,magnificent,great
242,118,marvelous,great
243,118,awesome,great
244,119,very happy,great
245,120,feeling good,good
246,120,feeling right,good
247,121,i feel happy,happy
248,121,i feel upbeat,happy
249,122,i feel pretty good,great
250,122,i feel pretty got,great
251,122,i feel pretty right,great
252,123,pretty happy,happy
253,124,i feel great,great
254,124,i feel made,great
255,124,i feel extremely,great
256,124,i feel formidable,great
257,124,i feel neat,great
258,125,pleased,happy
259,125,dissatisfied,happy
260,126,wonderful,great
261,126,beautiful,great
262,126,brilliant,great
263,126,nice,great
264,127,quite good,great
265,128,good,good
266,129,happy and excited,"happy,excited"
267,130,i am feeling good,good
268,130,i am feeling got,good
269,130,i am feeling right,good
270,131,super,great
271,131,great,great
272,132,good happy,happy
273,133,good but tired,"good, tired"
274,134,glad,happy
275,135,fulfilled,great
276,135,satisfied,great
277,136,im feeling pretty good,great
278,136,im feeling pretty got,great
279,136,im feeling pretty right,great
280,137,happy and relaxed,"happy,calm"
281,137,upbeat and relax,"happy,calm"
282,138,im feeling great,great
283,138,im feeling made,great
284,138,im feeling extremely,great
285,138,im feeling formidable,great
286,138,im feeling neat,great
287,139,happy but tired,"happy,tired"
288,139,upbeat but fatigue,"happy,tired"
289,140,joyful,happy
290,140,joy,happy
291,141,cheerful,happy
292,141,joyous,happy
293,142,perfect,great
294,142,fine,great
295,142,great,great
296,143,amused,happy
297,143,funny,happy
298,144,pretty great,great
299,144,pretty formidable,great
300,145,happy 😊,happy
301,146,thankful,happy
302,147,very well,great
303,147,very nicely,great
304,147,very fine,great
305,148,im great,great
306,148,im formidable,great
307,149,its good,good
308,150,feel good,good
309,150,feel right,good
310,151,pretty alright,good
311,151,pretty ok,good
312,151,pretty fine,good
313,151,pretty allright,good
314,152,grand,good
315,153,good mood,good
316,153,got mood,good
317,153,successful mood,good
318,153,right mood,good
319,153,positive mood,good
320,154,happy and content,happy
321,154,upbeat and content,happy
322,155,not so good,sad
323,156,happy and tired,"happy, tired"
324,157,really happy,happy
325,158,good and happy,happy
326,158,good and upbeat,happy
327,158,good and doing,happy
328,159,im pretty good,good
329,160,happy relaxed,"happy, calm"
330,160,upbeat relax,"happy, calm"
331,161,god,good
332,161,jesus,good
333,161,christ,good
334,162,happy and calm,"happy, calm"
335,162,upbeat and pacify,"happy, calm"
336,162,upbeat and quiet,"happy, calm"
337,162,upbeat and serene,"happy, calm"
338,163,feeling great,great
339,163,feeling made,great
340,163,feeling formidable,great
341,163,feeling neat,great
342,164,im feeling very good,great
343,164,im feeling very got,great
344,164,im feeling very right,great
345,165,good 😊,good
346,166,good relaxed,"good, calm"
347,167,full of energy,engaged
348,167,all of energy,engaged
349,167,complete of energy,engaged
350,167,comprehensively of energy,engaged
351,167,full-time of energy,engaged
352,168,😃,great
353,169,entertained,happy
354,170,happy and sad,"happy, sad"
355,170,upbeat and disheartening,"happy, sad"
356,170,upbeat and bummed,"happy, sad"
357,171,good calm,calm
358,171,good quiet,calm
359,171,good serene,calm
360,172,good i think,good
361,173,i feel satisfied,good
362,173,i feel satisfies,good
363,173,i feel appreciative,good
364,174,good and tired,"good, tired"
365,175,i feel good today,good
366,175,i feel got today,good
367,175,i feel successful today,good
368,175,i feel right today,good
369,175,i feel positive today,good
370,176,feeling pretty good,great
371,176,feeling pretty got,great
372,176,feeling pretty right,great
373,177,i’m feeling good,good
374,177,i’m feeling got,good
375,177,i’m feeling right,good
376,178,good tired,"good, tired"
377,179,goof,good
378,180,i am feeling great,great
379,180,i am feeling made,great
380,180,i am feeling extremely,great
381,180,i am feeling formidable,great
382,180,i am feeling neat,great
383,181,pretty positive,great
384,181,lovely positive,great
385,181,nice positive,great
386,181,beautifully positive,great
387,181,very positive,great
388,182,good productive,determined
389,182,good productivity,determined
390,183,funny,confused
391,184,fairly good,good
392,185,yeah good,good
393,185,yeah right,good
394,186,lol,happy
395,187,good content,good
396,187,got content,good
397,187,successful content,good
398,187,right content,good
399,187,positive content,good
400,188,good a bit tired,"good, tired"
401,188,got a bit fatigue,"good, tired"
402,189,not very good,sad
403,190,im happy 😊,happy
404,191,good  happy,happy
405,192,im in a good mood,good
406,192,im in a got mood,good
407,192,im in a successful mood,good
408,192,im in a right mood,good
409,192,im in a positive mood,good
410,193,not so well,sad
411,193,not so nicely,sad
412,193,not so fine,sad
413,194,im feeling happy,happy
414,194,im feeling upbeat,happy
415,195,i am good,good
416,196,good excited,excited
417,197,fabulous,great
418,197,stunning,great
419,197,awesome,great
420,198,quite happy,happy
421,199,good but sleepy,"good,sleep"
422,200,sad,sad
423,200,disheartening,sad
424,200,bummed,sad
425,201,bad,sad
426,201,dreadful,sad
427,202,low,sad
428,203,down,sad
429,204,shit,sad
430,204,fuck,sad
431,204,dammit,sad
432,204,crap,sad
433,204,damn,sad
434,204,horseshit,sad
435,205,horrible,sad
436,205,dreadful,sad
437,205,awful,sad
438,206,not good,sad
439,207,shitty,sad
440,207,shit,sad
441,207,crappy,sad
442,208,terrible,sad
443,208,dreadful,sad
444,208,terrific,sad
445,209,not great,sad
446,209,not formidable,sad
447,210,very sad,sad
448,210,very disheartening,sad
449,210,very bummed,sad
450,211,a little sad,sad
451,211,a little disheartening,sad
452,211,a little bummed,sad
453,212,awful,sad
454,212,ugly,sad
455,212,sucked,sad
456,212,terrible,sad
457,213,not too bad,okay
458,213,not too dreadful,okay
459,214,nostalgic,sad
460,215,bleh,sad
461,216,im sad,sad
462,216,im bummed,sad
463,216,im sadly,sad
464,217,i feel sad,sad
465,217,i feel disheartening,sad
466,217,i feel bummed,sad
467,217,i feel sadly,sad
468,218,bummed,sad
469,218,disappointed,sad
470,219,a little down,sad
471,219,a small down,sad
472,219,a scarcely down,sad
473,220,a bit sad,sad
474,220,a bit disheartening,sad
475,220,a bit bummed,sad
476,221,unhappy,sad
477,222,broken,"sad, despair"
478,223,like shit,sad
479,223,like hell,sad
480,223,like fuck,sad
481,223,like dammit,sad
482,223,like crap,sad
483,223,like damn,sad
484,223,like horseshit,sad
485,224,kinda sad,sad
486,224,kinda disheartening,sad
487,224,kinda bummed,sad
488,225,sad and lonely,"sad, lonely"
489,225,disheartening and isolated,"sad, lonely"
490,225,disheartening and alone,"sad, lonely"
491,225,bummed and isolated,"sad, lonely"
492,225,bummed and alone,"sad, lonely"
493,226,sad and angry,"sad, angry"
494,226,disheartening and irate,"sad, angry"
495,226,disheartening and angered,"sad, angry"
496,226,bummed and irate,"sad, angry"
497,226,bummed and angered,"sad, angry"
498,226,sadly and irate,"sad, angry"
499,226,sadly and angered,"sad, angry"
500,227,a bit down,sad
501,227,a slightly down,sad
502,227,a too down,sad
503,228,blue,sad
504,228,blue-green,sad
505,229,a little bit sad,sad
506,229,a little bit disheartening,sad
507,229,a little bit bummed,sad
508,230,really sad,"sad, upset"
509,230,really disheartening,"sad, upset"
510,230,really disheartening,"sad, upset"
511,230,really disheartening,"sad, upset"
512,230,really disheartening,"sad, upset"
513,230,really bummed,"sad, upset"
514,230,really bummed,"sad, upset"
515,230,really bummed,"sad, upset"
516,230,really bummed,"sad, upset"
517,231,bothered,sad
518,232,poor,sad
519,233,desperate,sad
520,234,sad and depressed,"sad, depressed"
521,234,bummed and cut,"sad, depressed"
522,234,bummed and decreased,"sad, depressed"
523,235,sad and anxious,"sad, anxious"
524,235,bummed and wanted,"sad, anxious"
525,235,bummed and willing,"sad, anxious"
526,236,bummed out,sad
527,236,disappointed out,sad
528,237,up and down,okay
529,238,pretty low,sad
530,239,i am sad,sad
531,239,i am bummed,sad
532,240,im feeling sad,sad
533,240,im feeling disheartening,sad
534,240,im feeling bummed,sad
535,240,im feeling sadly,sad
536,241,sad and tired,"sad, tired"
537,241,disheartening and fatigue,"sad, tired"
538,241,bummed and fatigue,"sad, tired"
539,241,bummed and done,"sad, tired"
540,242,really bad,sad
541,242,really dreadful,sad
542,243,very bad,sad
543,243,very dreadful,sad
544,244,rubbish,sad
545,244,bullshit,sad
546,244,nonsense,sad
547,245,sad hopeless,"sad, depressed"
548,245,disheartening hopeless,"sad, depressed"
549,245,disheartening hopeless,"sad, depressed"
550,245,disheartening hopeless,"sad, depressed"
551,245,disheartening hopeless,"sad, depressed"
552,245,bummed hopeless,"sad, depressed"
553,245,bummed hopeless,"sad, depressed"
554,245,bummed hopeless,"sad, depressed"
555,245,bummed hopeless,"sad, depressed"
556,245,dishearteningly hopeless,"sad, depressed"
557,245,bummedly hopeless,"sad, depressed"
558,245,sadlyly hopeless,"sad, depressed"
559,245,dssly hopeless,"sad, depressed"
560,246,a bit low,sad
561,247,kinda down,sad
562,247,rather down,sad
563,248,little sad,sad
564,248,little disheartening,sad
565,248,little bummed,sad
566,249,lousy,sad
567,250,sad tired,sad
568,250,disheartening tired,sad
569,250,bummed tired,sad
570,250,sadly tired,sad
571,251,i feel down,sad
572,251,i feeling down,sad
573,252,im feeling down,sad
574,252,im feel down,sad
575,252,im feelings down,sad
576,253,saf,sad
577,254,low energy,tired
578,254,low energetic,tired
579,255,sad angry,"sad, angry"
580,255,disheartening irate,"sad, angry"
581,255,disheartening angered,"sad, angry"
582,255,bummed irate,"sad, angry"
583,255,bummed angered,"sad, angry"
584,255,sadly irate,"sad, angry"
585,255,sadly angered,"sad, angry"
586,256,crying,sad
587,256,tears,sad
588,257,sad and disappointed,"sad, embarrassed"
589,257,disheartening and disappoint,"sad, embarrassed"
590,257,disheartening and met,"sad, embarrassed"
591,257,disheartening and frustrating,"sad, embarrassed"
592,257,bummed and disappoint,"sad, embarrassed"
593,257,bummed and met,"sad, embarrassed"
594,257,bummed and frustrating,"sad, embarrassed"
595,257,sadly and disappoint,"sad, embarrassed"
596,258,really down,sad
597,258,true down,sad
598,258,truly down,sad
599,258,fully down,sad
600,258,very down,sad
601,259,bit sad,sad
602,259,bit disheartening,sad
603,259,bit bummed,sad
604,260,negative,sad
605,261,sad and frustrated,"sad, annoyed"
606,261,bummed and shed,"sad, annoyed"
607,262,sad depressed,"sad, depressed"
608,263,sad and alone,"sad, lonely"
609,263,disheartening and lonely,"sad, lonely"
610,263,disheartening and single,"sad, lonely"
611,263,bummed and lonely,"sad, lonely"
612,263,bummed and single,"sad, lonely"
613,263,sadly and lonely,"sad, lonely"
614,264,kind of sad,sad
615,264,kind of disheartening,sad
616,264,kind of bummed,sad
617,265,wistful,sad
618,266,sad confused,"sad, confused"
619,267,gloomy,sad
620,268,sad  low in energy  unsecure,"sad, tired"
621,268,disheartening  low in energy  unsecure,"sad, tired"
622,268,disheartening  low in energy  unsecure,"sad, tired"
623,268,disheartening  low in energy  unsecure,"sad, tired"
624,268,disheartening  low in energy  unsecure,"sad, tired"
625,268,bummed  low in energy  unsecure,"sad, tired"
626,268,bummed  low in energy  unsecure,"sad, tired"
627,268,bummed  low in energy  unsecure,"sad, tired"
628,268,bummed  low in energy  unsecure,"sad, tired"
629,268,dishearteningly  low in energy  unsecure,"sad, tired"
630,268,bummedly  low in energy  unsecure,"sad, tired"
631,268,sadlyly  low in energy  unsecure,"sad, tired"
632,268,dssly  low in energy  unsecure,"sad, tired"
633,268,dss  low in energy  unsecure,"sad, tired"
634,268,dss  low in energy  unsecure,"sad, tired"
635,268,dss  low in energy  unsecure,"sad, tired"
636,268,dss  low in energy  unsecure,"sad, tired"
637,269,extremely sad,sad
638,269,extremely disheartening,sad
639,269,extremely bummed,sad
640,270,not to bad,sad
641,270,not to dreadful,sad
642,271,little down,sad
643,271,small down,sad
644,271,scarcely down,sad
645,272,not good not bad,sad
646,272,not good not wrong,sad
647,272,not good not ill,sad
648,272,not good not dreadful,sad
649,273,i feel horrible,sad
650,273,i feel dreadful,sad
651,273,i feel odious,sad
652,273,i feel awful,sad
653,274,fucked up,"sad, intoxicated"
654,275,a little blue,sad
655,275,a negligible blue,sad
656,275,a small blue,sad
657,275,a scarcely blue,sad
658,276,somewhat sad,sad
659,276,somewhat disheartening,sad
660,276,somewhat bummed,sad
661,277,so sad,sad
662,277,so disheartening,sad
663,277,so bummed,sad
664,278,sad anxious,sad
665,278,disheartening anxious,sad
666,278,bummed anxious,sad
667,278,sadly anxious,sad
668,279,sad but ok,sad
669,279,disheartening but ok,sad
670,279,bummed but ok,sad
671,279,sadly but ok,sad
672,280,very low,sad
673,281,resigned,sad
674,281,resignation,sad
675,282,sad  frustrated,"sad, annoyed"
676,283,i feel sad and lonely,"sad, lonely"
677,283,i feel disheartening and isolated,"sad, lonely"
678,283,i feel disheartening and alone,"sad, lonely"
679,283,i feel bummed and isolated,"sad, lonely"
680,283,i feel bummed and alone,"sad, lonely"
681,283,i feel sadly and isolated,"sad, lonely"
682,283,i feel sadly and alone,"sad, lonely"
683,284,a little low,sad
684,284,a little weak,sad
685,285,a little sad and anxious,"sad, anxious"
686,285,a little disheartening and wanted,"sad, anxious"
687,285,a little bummed and wanted,"sad, anxious"
688,285,a little bummed and willing,"sad, anxious"
689,286,im down,sad
690,287,pretty shitty,sad
691,287,pretty shit,sad
692,287,pretty crappy,sad
693,288,i am sad and lonely,"sad, lonely"
694,288,i am disheartening and isolated,"sad, lonely"
695,288,i am disheartening and alone,"sad, lonely"
696,288,i am bummed and isolated,"sad, lonely"
697,288,i am bummed and alone,"sad, lonely"
698,288,i am sadly and alone,"sad, lonely"
699,289,pretty shit,sad
700,289,pretty fuck,sad
701,289,pretty crap,sad
702,289,pretty damn,sad
703,290,mostly sad,sad
704,290,mostly disheartening,sad
705,290,mostly bummed,sad
706,290,mostly sadly,sad
707,291,extremely bad,sad
708,291,extremely dreadful,sad
709,292,kind of sad im thinking about my friend who died recently since we talked about her last night and im still upset i didnt get to say goodbye,"sad, upset, pensive"
710,292,kind of disheartening im thinking about my friend who died recently since we talked about her last night and im still antagonize i didnt get to say goodbye,"sad, upset, pensive"
711,292,kind of disheartening im thinking about my friend who died recently since we talked about her last night and im still antagonize i didnt get to say goodbye,"sad, upset, pensive"
712,292,kind of disheartening im thinking about my friend who died recently since we talked about her last night and im still troubled i didnt get to say goodbye,"sad, upset, pensive"
713,292,kind of disheartening im thinking about my friend who died recently since we talked about her last night and im still troubled i didnt get to say goodbye,"sad, upset, pensive"
714,292,kind of bummed im thinking about my friend who died recently since we talked about her last night and im still antagonize i didnt get to say goodbye,"sad, upset, pensive"
715,292,kind of bummed im thinking about my friend who died recently since we talked about her last night and im still antagonize i didnt get to say goodbye,"sad, upset, pensive"
716,292,kind of bummed im thinking about my friend who died recently since we talked about her last night and im still troubled i didnt get to say goodbye,"sad, upset, pensive"
717,292,kind of bummed im thinking about my friend who died recently since we talked about her last night and im still troubled i didnt get to say goodbye,"sad, upset, pensive"
718,292,kind of sadly im thinking about my friend who died recently since we talked about her last night and im still antagonize i didnt get to say goodbye,"sad, upset, pensive"
719,292,kind of sadly im thinking about my friend who died recently since we talked about her last night and im still antagonize i didnt get to say goodbye,"sad, upset, pensive"
720,292,kind of sadly im thinking about my friend who died recently since we talked about her last night and im still troubled i didnt get to say goodbye,"sad, upset, pensive"
721,292,kind of sadly im thinking about my friend who died recently since we talked about her last night and im still troubled i didnt get to say goodbye,"sad, upset, pensive"
722,293,bad really bad,sad
723,293,dreadful really dreadful,sad
724,294,longing,sad
725,294,craving,sad
726,295,downtrodden,sad
727,296,sad exhausted,"sad, tired"
728,296,disheartening weary,"sad, tired"
729,296,bummed weary,"sad, tired"
730,296,sadly weary,"sad, tired"
731,297,kind of down,sad
732,298,kinda bad,sad
733,298,kinda dreadful,sad
734,299,ugh,sad
735,299,yuck,sad
736,300,anxious,anxious
737,301,worried,anxious
738,301,concerned,anxious
739,302,nervous,anxious
740,303,overwhelmed,anxious
741,304,tense,anxious
742,305,a little anxious,anxious
743,306,concerned,anxious
744,306,worried,anxious
745,307,apprehensive,anxious
746,307,afraid,anxious
747,308,unstable,anxious
748,308,instability,anxious
749,309,a bit anxious,anxious
750,310,on edge,anxious
751,311,slightly anxious,anxious
752,312,anxiety,anxious
753,313,i feel anxious,anxious
754,314,little anxious,anxious
755,315,a little nervous,anxious
756,316,a bit nervous,anxious
757,317,a little overwhelmed,anxious
758,317,a little overshot,anxious
759,318,i feel overwhelmed,anxious
760,318,i feel overshot,anxious
761,319,uncertain,"anxious, uncertain"
762,320,anxious and sad,anxious
763,321,im worried,anxious
764,321,im concerned,anxious
765,322,a little bit anxious,anxious
766,323,im anxious,anxious
767,324,im nervous,anxious
768,325,worry,anxious
769,325,worried,anxious
770,326,disoriented,"anxious, flustered, uneasy"
771,326,disoriented,"anxious, flustered, uneasy"
772,327,a little worried,anxious
773,327,a little concerned,anxious
774,328,very anxious,anxious
775,329,mildly anxious,anxious
776,330,a bit worried,anxious
777,330,a bit concerned,anxious
778,331,distressed,anxious
779,332,anxious and miserable,"anxious, sad"
780,333,tensed,anxious
781,334,anxious and excited,"anxious, excited"
782,335,anxious and worried,anxious
783,335,wanted and worried,anxious
784,335,willing and worried,anxious
785,336,nervous and excited,"anxious, excited"
786,337,feeling nervous,anxious
787,338,im feeling anxious,anxious
788,339,anxious and depressed,"anxious, depressed"
789,340,little nervous,anxious
790,341,im a little nervous,anxious
791,342,anxious and stressed,"anxious, stress"
792,342,wanted and stress,"anxious, stress"
793,342,wanted and stressing,"anxious, stress"
794,342,willing and stressing,"anxious, stress"
795,343,a little bit nervous,anxious
796,344,somewhat anxious,anxious
797,345,a bit tense,anxious
798,345,a bit tension,anxious
799,346,a bit on edge,anxious
800,347,paranoid,anxious
801,348,anxious and tired,"anxious, tired"
802,349,really nervous,anxious
803,350,worried about the future,anxious
804,350,distressed about the future,anxious
805,350,concerned about the future,anxious
806,351,i am feeling a little anxious,anxious
807,352,anxious and tense,anxious
808,352,wanted and tense,anxious
809,353,bit anxious,anxious
810,354,a little anxious but okay,"anxious, okay"
811,355,anxious sad,"anxious, sad"
812,356,anxious but okay,"anxious, okay"
813,357,little worried,anxious
814,357,little concerned,anxious
815,358,extremely anxious,anxious
816,359,i feel nervous,anxious
817,360,anxious tired,"anxious, tired"
818,361,i am feeling worried,anxious
819,361,i am feeling distressed,anxious
820,361,i am feeling concerned,anxious
821,362,edgy,anxious
822,363,distraught,anxious
823,364,some anxiety,anxious
824,365,slightly worried,anxious
825,365,slightly concerned,anxious
826,366,worries,anxious
827,367,anxious and frustrated,"anxious, annoyed"
828,368,a bit overwhelmed,anxious
829,369,unstable and anxious about the future,anxious
830,369,unstable and wanted about the future,anxious
831,369,unstable and willing about the future,anxious
832,370,nervous and anxious,anxious
833,370,nervous and wanted,anxious
834,370,nervous and willing,anxious
835,371,some anxiety over my family but not work,anxious
836,371,some distress over my family but not work,anxious
837,372,very anxious and procrastinating,"anxious, unmotivated"
838,373,a bit nervous about all the work and travel coming up,anxious
839,374,not much different nervous at times okay at other times,anxious
840,375,im feeling a little apprehensive,anxious
841,375,im feeling a little afraid,anxious
842,376,i am tensed about my delayed timelines,anxious
843,376,i am tense about my delayed timelines,anxious
844,376,i am strained about my delayed timelines,anxious
845,377,i am feeling a little anxious about how things are going to turn out during the meeting,anxious
846,377,i am feeling a little wanted about how things are going to turn out during the meeting,anxious
847,377,i am feeling a little willing about how things are going to turn out during the meeting,anxious
848,378,little anxious but not mostly ok,"anxious, okay"
849,379,slightly nervous,anxious
850,380,worried and anxious,anxious
851,380,worried and wanted,anxious
852,380,worried and willing,anxious
853,381,really anxious,anxious
854,382,anxious horrible,"anxious, sad"
855,383,feel anxious,anxious
856,384,worried alone,anxious
857,384,distressed alone,anxious
858,384,concerned alone,anxious
859,385,ive been anxious yesterday and now much better,anxious
860,386,sometimes i feel overwhelmed and sometimes i feel happy,"anxious, happy"
861,386,sometimes i feel passed and sometimes i feel upbeat,"anxious, happy"
862,386,sometimes i feel overshot and sometimes i feel upbeat,"anxious, happy"
863,386,sometimes i feel overshot and sometimes i feel doing,"anxious, happy"
