num_seen,message,empathy,ignore
4,good a bit tired,"good, tired",
4,not very good,sad,
4,im happy 😊,happy,
4,good  happy,happy,
4,im in a good mood,good,
4,not so well,sad,
4,im feeling happy,happy,
4,i am good,good,
4,good excited,excited,
4,fabulous,great,
4,quite happy,happy,
4,good but sleepy,"good,sleep",
1311,sad,sad,
192,bad,sad,
153,low,sad,
142,down,sad,
70,shit,sad,
49,horrible,sad,
47,not good,sad,
38,shitty,sad,
36,terrible,sad,
30,not great,sad,
28,very sad,sad,
23,a little sad,sad,
22,awful,sad,
21,not too bad,okay,
18,nostalgic,sad,
17,bleh,sad,
16,im sad,sad,
15,i feel sad,sad,
14,bummed,sad,
14,a little down,sad,
14,a bit sad,sad,
14,unhappy,sad,
13,broken,"sad, despair",
12,like shit,sad,
11,kinda sad,sad,
10,sad and lonely,"sad, lonely",
9,sad and angry,"sad, angry",
9,a bit down,sad,
8,blue,sad,
8,a little bit sad,sad,
8,really sad,"sad, upset",
7,bothered,sad,
7,poor,sad,
7,desperate,sad,
7,sad and depressed,"sad, depressed",
7,sad and anxious,"sad, anxious",
6,bummed out,sad,
6,up and down,okay,
6,pretty low,sad,
6,i am sad,sad,
5,im feeling sad,sad,
5,sad and tired,"sad, tired",
5,really bad,sad,
5,very bad,sad,
5,rubbish,sad,
4,sad hopeless,"sad, depressed",
4,a bit low,sad,
4,kinda down,sad,
4,little sad,sad,
4,lousy,sad,
4,sad tired,sad,
4,i feel down,sad,
4,im feeling down,sad,
4,saf,sad,
4,low energy,tired,
4,sad angry,"sad, angry",
4,crying,sad,
4,sad and disappointed,"sad, embarrassed",
3,really down,sad,
3,bit sad,sad,
3,negative,sad,
3,sad and frustrated,"sad, annoyed",
3,sad depressed,"sad, depressed",
3,sad and alone,"sad, lonely",
3,kind of sad,sad,
3,wistful,sad,
3,sad confused,"sad, confused",
3,gloomy,sad,
3,sad  low in energy  unsecure,"sad, tired",
3,extremely sad,sad,
3,not to bad,sad,
3,little down,sad,
3,not good not bad,sad,
3,i feel horrible,sad,
3,fucked up,"sad, intoxicated",
3,a little blue,sad,
3,somewhat sad,sad,
3,so sad,sad,
3,sad anxious,sad,
3,sad but ok,sad,
3,very low,sad,
3,resigned,sad,
2,sad  frustrated,"sad, annoyed",
2,i feel sad and lonely,"sad, lonely",
2,a little low,sad,
2,a little sad and anxious,"sad, anxious",
2,im down,sad,
2,pretty shitty,sad,
2,i am sad and lonely,"sad, lonely",
2,pretty shit,sad,
2,mostly sad,sad,
2,extremely bad,sad,
2,kind of sad im thinking about my friend who died recently since we talked about her last night and im still upset i didnt get to say goodbye,"sad, upset, pensive",
2,bad really bad,sad,
2,longing,sad,
2,downtrodden,sad,
2,sad exhausted,"sad, tired",
2,kind of down,sad,
2,kinda bad,sad,
2,ugh,sad,
806,anxious,anxious,
198,worried,anxious,
187,nervous,anxious,
89,overwhelmed,anxious,
28,tense,anxious,
23,a little anxious,anxious,
22,concerned,anxious,
21,apprehensive,anxious,
19,unstable,anxious,
15,a bit anxious,anxious,
14,on edge,anxious,
13,slightly anxious,anxious,
10,anxiety,anxious,
9,i feel anxious,anxious,
8,little anxious,anxious,
8,a little nervous,anxious,
7,a bit nervous,anxious,
6,a little overwhelmed,anxious,
5,i feel overwhelmed,anxious,
5,uncertain,"anxious, uncertain",
5,anxious and sad,anxious,
5,im worried,anxious,
5,a little bit anxious,anxious,
5,im anxious,anxious,
5,im nervous,anxious,
5,worry,anxious,
5,disoriented,"anxious, flustered, uneasy",
5,a little worried,anxious,
5,very anxious,anxious,
4,mildly anxious,anxious,
4,a bit worried,anxious,
4,distressed,anxious,
4,anxious and miserable,"anxious, sad",
4,tensed,anxious,
3,anxious and excited,"anxious, excited",
3,anxious and worried,anxious,
3,nervous and excited,"anxious, excited",
3,feeling nervous,anxious,
3,im feeling anxious,anxious,
3,anxious and depressed,"anxious, depressed",
3,little nervous,anxious,
3,im a little nervous,anxious,
3,anxious and stressed,"anxious, stress",
3,a little bit nervous,anxious,
3,somewhat anxious,anxious,
3,a bit tense,anxious,
2,a bit on edge,anxious,
2,paranoid,anxious,
2,anxious and tired,"anxious, tired",
2,really nervous,anxious,
2,worried about the future,anxious,
2,i am feeling a little anxious,anxious,
2,anxious and tense,anxious,
2,bit anxious,anxious,
2,a little anxious but okay,"anxious, okay",
2,anxious sad,"anxious, sad",
2,anxious but okay,"anxious, okay",
2,little worried,anxious,
2,extremely anxious,anxious,
2,i feel nervous,anxious,
2,anxious tired,"anxious, tired",
2,i am feeling worried,anxious,
2,edgy,anxious,
2,distraught,anxious,
2,some anxiety,anxious,
2,slightly worried,anxious,
2,worries,anxious,
2,anxious and frustrated,"anxious, annoyed",
2,a bit overwhelmed,anxious,
2,unstable and anxious about the future,anxious,
2,nervous and anxious,anxious,
1,some anxiety over my family but not work,anxious,
1,very anxious and procrastinating,"anxious, unmotivated",
1,a bit nervous about all the work and travel coming up,anxious,
1,not much different nervous at times okay at other times,anxious,
1,im feeling a little apprehensive,anxious,
1,i am tensed about my delayed timelines,anxious,
1,i am feeling a little anxious about how things are going to turn out during the meeting,anxious,
1,little anxious but not mostly ok,"anxious, okay",
1,slightly nervous,anxious,
1,worried and anxious,anxious,
1,really anxious,anxious,
1,anxious horrible,"anxious, sad",
1,feel anxious,anxious,
1,worried alone,anxious,
1,ive been anxious yesterday and now much better,anxious,
1,sometimes i feel overwhelmed and sometimes i feel happy,"anxious, happy",
1,im feeling anxious a bit  im trying to relax,anxious,
1,a little worry,anxious,
1,kinda anxious i guess,anxious,
1,feeling abit nervous,anxious,
1,nervous  depressed  worried  sleepy,"anxious, depressed, sleep",
1,worried stressed,"anxious, stress",
1,just a little nervous,anxious,
1,i am anxious but happy,"anxious, happy",
1,im feeling a bit anxious but not too much,anxious,
1,anxious and scared sometimes trying to be positive but there are negative thoughts,"anxious, scared",
1,im feeling extremely distressed and low i dont have any idea how to tackle this i am depressed to say the least,"anxious, depressed, sad",
1,im feeling kinda overwhelmed because i expect everything to happen as i have planned it  so when things dont run smoothly its an emotional strain,"anxious, emotional",
1,anxious a bit down,"anxious, sad",
1559,okay,okay,
1243,ok,okay,
751,fine,okay,
285,neutral,okay,
228,alright,okay,
102,not bad,okay,
97,im ok,okay,
93,im okay,okay,
75,decent,okay,
68,i feel okay,okay,
54,i feel ok,okay,
41,i feel fine,okay,
30,im fine,okay,
26,im alright,okay,
20,i feel alright,okay,
19,im feeling ok,okay,
19,fair,okay,
18,feeling ok,okay,
14,ok i guess,okay,
14,im feeling okay,okay,
13,okay i guess,okay,
12,medium,okay,
12,pretty okay,okay,
11,just ok,okay,
10,im feeling fine,okay,
10,its ok,okay,
8,i am ok,okay,
8,its okay,okay,
8,i am fine,okay,
7,i feel neutral,okay,
7,im feeling alright,okay,
7,feel ok,okay,
6,as usual,okay,
6,okay tired,"okay, tired",
6,i am feeling ok,okay,
6,just fine,okay,
5,goodish,okay,
5,okayish,okay,
5,feeling alright,okay,
5,feeling fine,okay,
5,ok kind,okay,
5,pretty decent,okay,
5,ok thanks,okay,
5,pretty ok,okay,
4,ok ok,okay,
4,im doing ok,okay,
4,fine ,okay,
4,allright,okay,
4,quite ok,okay,
4,feel okay,okay,
4,all right,okay,
3,regular,okay,
3,okey,okay,
3,im doing alright,okay,
3,feeling okay,okay,
3,just okay,okay,
3,im okay i guess,okay,
3,mostly okay,okay,
3,finr,okay,
3,i am alright,okay,
3,fine thanks,okay,
3,pretty neutral,okay,
3,i am feeling okay,okay,
3,alright i guess,okay,
3,its alright,okay,
3,its fine,okay,
2,okay good,okay,
2,im doing fine,okay,
2,i feel fine today,okay,
2,ok but tired,"okay, tired",
2,ok  not bad,okay,
2,alright thank you,okay,
2,i feel fine ,okay,
2,ok relaxed,okay,
2,my mood is alright  dad called today and made me cry not that he knew 😑,okay,
2,pretty darn fine,okay,This is new data - that needs to be labelled by humans. 
2,fine i guess,okay,
2,i am okay,okay,
2,okay relaxed,okay,
2,okay could be better,okay,
2,im okay just tired,"okay, tired",
2,k,okay,
2,not bad at all,okay,
2,quite alright,okay,
2,not okay,sad,
2,its decent,okay,
2,im decent,okay,
2,okie,okay,
2,im alright thank you,okay,
2,its totally fine,okay,
2,im pretty okay,okay,
2,ok  kinda tired,"okay, tired",
2,im ok im pushing through the mud,"okay, tired",
2,i am feeling fine,okay,
2,not ok,sad,
2,fine i wish to do more but im fine,hopeful,
2,oki,okay,
2,generally okay,okay,
2,pretty fine,okay,
2,fine thank you,okay,
562,stressed,stress,
42,busy,stress,
13,a bit stressed,stress,
10,a little stressed,stress,
7,stressed out,stress,
6,rushed,stress,
5,stressed and tired,stress,
5,im stressed,stress,
4,slightly stressed,stress,
4,pressure,stress,
3,stressed and frustrated,"stress, annoyed",
3,stressful,stress,
3,im feeling stressed,stress,
3,i feel stressed,stress,
2,im a little stressed,stress,
2,pressured,stress,
2,stressed and anxious,"stress, anxious",
2,stress,stress,
2,little stressed,stress,
2,stressed angry,"stress, angry",
2,very stressed,stress,
2,stressed about work,stress,
1,stressed and anxious about money and my future,"stress, anxious",
1,stressed tense tired unproductive,"stress, tired, unmotivated",
1,stressed angry annoyed,"stress, angry, annoyed",
1,stressed about nothing,stress,
1,slightly stressed but its manageable,stress,
1,pressure and fear and refreshing,"stress, scared",
1,stressed and worried,"stress, anxious",
1,stressed and sleepy,"stress, sleep",
1,stressed out and exhausted,"stress, tired",
1,stressed af because whoever invented the hsc can die,stress,
1,very very very very stressful,stress,
1,stressed and worried that im not a good person,"stress, anxious",
1,pretty stressed,stress,
1,stressed whatever i do it seems be never good enough,stress,
1,stressed out about the job,stress,
1,quite stressed,stress,
1,stressed have a lot on my plate,stress,
1,stressed but peaceful,"stress, calm",
1,stressed  worried  heavy and yearning for change,"stress, anxious",
1,incredibly stressed,stress,
1,busy hard,stress,
1,stressed out but the stress is over,stress,
1,just stressed out about things,stress,
1,stressful but chill,"stress, calm",
1,busy  but productive,"stress, determined",
1,stressed worried about a test result,"stress, anxious",
1,stressed scared,stress,
1,i feel stressed but not,stress,
1,a little stressed but happy to be home,"stress, happy",
1,head ache busy,"pain, determined",
1,stressed but happy,"stress, happy",
1,i feel stressed and worried also overtired,"stress, anxious, tired",
1,insomnia  work stress  work worries  character and life thoughts going around my mind,"stress, sleep",
1,busy 😊,determined,
1,im feeling a little stressed out but have very high energy,"stress, engaged",
1,a bit busy but good,"stress, good",
1,stressed  but hopefully,"stress, determined",
1,stress and nervous,"stress, anxious",
1,mildly stressed,stress,
1,stressed  worried  excited  optimistic,"stress, anxious, hopeful",
1,very stressed out,stress,
1,its quite stressful at work feels like im always stepping on eggshells trying not to make any wrong moves,stress,
1,im a little stressed and sore,"stress, pain",
1,feeling busy,stress,
1,abit stressed,stress,
1,😫,stress,
1,a bit stressed because i dont know how i should plan my week and what times are the best to study,stress,
1,i worked  fell behind on my planning for a bit  but got back on track,stress,
1,stressed anxious,"stress, anxious",
1,stressed but less than yesterday,stress,
1,somewhat stressed,stress,
1,im busy,stress,
1,a little stressed out,stress,
1,just really stressed,stress,
1,im feeling stresses,stress,
1,its finals time so a little stressed,stress,
1,feeling a bit stressed,stress,
1,slightly stressed fear of the unknown,stress,
1,a bit busy,stress,
1,i feel a bit stressed,stress,
1,i just came from working out and i am busy making dinner so that is why i have a lot of energy,stress,
1,stressed anxious but not out of control,"stress, anxious",
1,stressed and angry,"stress, angry",
1,stressed  anxious  wound up,"stress, anxious",
1,stressed and depressed,"stress, depressed",
1,little stressed by my boyfriend,stress,
1,physically strained,tired,
1,my mind is busy,stress,
1,stressed out but ok,"stress, okay",
1,stressed and upset,"stress, upset",
1,i feel stressed out,stress,
1,stressed and full of fear,"stress, scared",
1,stressed but good,"stress, good",
1,stressy,stress,
1,i feel rushed and frustrated,"stress, annoyed",
1,stress confused i was ignored but now i want closer,"stress, ignored, confused",
1,a little stressed at work but more exasperated people keep expecting you to know things that you had no reason to know,"stress, annoyed",
403,depressed,depressed,
75,hopeless,depressed,
9,a little depressed,depressed,
8,very depressed,depressed,
7,depressed and anxious,"depressed, anxious",
7,a bit depressed,depressed,
6,i feel depressed,depressed,
5,depression,depressed,
4,kinda depressed,depressed,
3,little depressed,depressed,
2,mildly depressed,depressed,
2,depressed and upset,"depressed, upset",
2,beyond hopeless,depressed,
2,depressed lonely,"depressed, lonely",
2,depressed anxious,"depressed, anxious",
2,depressed sad,"depressed, sad",
2,depressing,depressed,
2,really depressed,depressed,
2,depressed and stressed,"depressed, stress",
2,im depressed,depressed,
2,slightly depressed,depressed,
1,depressed it just feels like im making everyone around me happy just not myself,depressed,
1,very depressed and very anxious,"depressed, anxious",
1,depressed angry,"depressed, angry",
1,very depressed and extreme anxiety,"depressed, anxious",
1,everything is the same every day is the same monotonous depressed,depressed,
1,depressed lonely uneasy,"depressed, lonely, uneasy",
1,im a hopeless loser,depressed,
1,depressed lonely grouchy frustrated,"depressed, annoyed, lonely",
1,kinda hopeless im back to doing everything again now that the weekend is over,depressed,
1,im very depressed,depressed,
1,feeling depressed about starting the day,depressed,
1,depressed and lonely and broken,"depressed, lonely, pain",
1,depressed irritable fraying i feel like my mental state is deteriorating rapidly,"depressed, annoyed",
1,depressed bored tired,"depressed, bored, tired",
1,depressed unloved unwanted,depressed,
1,severe depression,depressed,
1,deppressed,depressed,
1,depressed and worried,"depressed, anxious",
1,i feel a bit depressed but happy,depressed,
1,very depressed and sad,"depressed, sad",
1,hopless,depressed,
1,depressed but not anxious,depressed,
1,depressed  down  twisted up inside,depressed,
1,hopeless  angry  scared  sad,"depressed, angry, sad, scared",
1,depressed panic,"depressed, flustered, anxious",
1,kind of depressed,depressed,
1,depressed and alone and tired,"depressed, lonely, tired",
1,i feel hopeless because i have so many assignments,"depressed, stress",
1,depressed becausev of work,depressed,
1,depressed sad confused,"depressed, sad, confused",
1,depressed frustrated hopeless,"depressed, annoyed",
1,severely depressed,depressed,
1,depressed  anxious  sick  and tired,"depressed, anxious, sick, tired",
1,feeling a little depressed,depressed,
1,depressed and not thrilled,depressed,
1,depressed ashamed,"depressed, embarrassed",
1,mildly depressed but ok,depressed,
1,depressed still,depressed,
1,depressed and low,depressed,
1,mildly depressed and anxious,"depressed, anxious",
1,depressed stressed anxious lack of confidence,"depressed, stress, anxious, distortion",
1,incredibly depressed,depressed,
1,i am depressed and hopeless i am sad  tired  anxious  and lonely,"depressed, sad, tired, anxious, lonely",
1,a little depressed and feeling quite a bit of grief and helplessness,"depressed, loss",
1,depressed anxious self hatred,depressed,
1,depressed and grieving,"depressed, loss",
1,depressed anxious self hatred empty worthless,"depressed, anxious, disconnected",
1,i am feeling depressed i didnt sleep well last night im worried about my job,"depressed, sleep",
1,im feeling depressed,depressed,
1,depressed and listless,"depressed, disconnected",
1,i’m feeling pretty hopeless,depressed,
1,depressed\nfrustrated\npainful,"depressed, annoyed, pain",
1,hopeless  sad,"depressed, sad",
1,depressed and sad,"depressed, sad",
1,depressed  hopeless,depressed,
1,i fell a bit depressed,depressed,
1,depressed anxious envious,"depressed, anxious, jealous",
1,not depressed but down,sad,
1,im feeling really depressed,depressed,
1,a little more depressed than normal,depressed,
1,depressed sad numb,"depressed, sad, disconnected",
1,im feeling pretty depressed and restless,"depressed, restless",
1,hopeless and trapped,depressed,
1,i feel little depressed,depressed,
1,hopeless anger soft empowered,"depressed, angry, confidence",
1,depressed  exhausted,"depressed, tired",
1,fucking depressed i miss heather so much,depressed,
1,depressed  dreading  i feel useless,depressed,
1,im feeling hopeless and heartbroken,"depressed, pain, sad",
1,depressed feelings of worthlessness,depressed,
1,kinda depressed anxious,"depressed, anxious",
1,i feel hopeless heartbroken and defeated,"depressed, pain, sad",
1,depressed and self conscious,"depressed, distortion ",
1,depressed and panicked,"depressed, flustered, anxious",
1,a little depression,depressed,
1,depressed resigned… feeling lack luster,depressed,
1,depressed useless just hate not being able to play with my kids,depressed,
1,depressed and disgusted,depressed,
1,i feel like hell im depressed im ashamed i hate myself,"depressed, embarrassed",
1096,calm,calm,
550,relaxed,calm,
493,content,calm,
128,hopeful,calm,
106,peaceful,calm,
101,chill,calm,
65,nice,calm,
55,cool,calm,
34,relax,calm,
31,peace,calm,
28,mellow,calm,
26,chilled,calm,
26,balanced,calm,
25,rested,calm,
19,comfortable,calm,
17,i feel calm,calm,
15,i feel relaxed,calm,
14,contented,calm,
13,at ease,calm,
13,refreshed,calm,
12,im content,calm,
12,clam,calm,
11,even,calm,
11,relaxed and happy,"calm, happy",
11,quiet,calm,
10,pleasant,calm,
9,awake,calm,
9,calm and happy,"calm, happy",
9,relaxing,calm,
8,i feel content,calm,
8,serene,calm,
7,fresh,calm,
7,at peace,calm,
6,smooth,calm,
6,pretty content,calm,
6,hopefully,calm,
6,im relaxed,calm,
6,im feeling content,calm,
5,feeling relaxed,calm,
5,pretty relaxed,calm,
5,calm happy,calm,
5,clear,calm,
4,very calm,calm,
4,calm and relaxed,calm,
4,i feel peaceful,calm,
4,safe,calm,
4,easy,calm,
4,chilled out,calm,
4,chilling,calm,
4,cozy,calm,
4,im feeling calm,calm,
4,pretty chill,calm,
3,passive,calm,
3,im calm,calm,
3,content happy,"calm, happy",
3,relaxed content,calm,
3,fairly calm,calm,
3,calm and tired,"calm, tired",
3,i feel relaxed and happy,calm,
3,relaxed and tired,"calm, tired",
3,calm  relaxed,calm,
3,collected,calm,
3,quite calm,calm,
3,relaxed and excited,calm,
3,relaxed and calm,calm,
2,im quite relaxed,calm,
2,a bit calm,calm,
2,still sick,sick,
2,pretty content ,calm,
2,peace ,calm,
2,just relaxed,calm,
2,content and hopeful,"calm, hopeful",
2,im still sick,sick,
2,feel nice,calm,
2,peaceful tired,calm,
2,relaxed 😎,calm,
2,zen,calm,
2,very nice,calm,
2,relaxed mostly,calm,
2,v nice boi,calm,
2,fairly relaxed,calm,
2,calm relax,calm,
2,hopefull,calm,
2,quite chill,calm,
2,calm and sleepy,"calm, sleep",
2,peacefully,calm,
2,calm relaxed,calm,
2,peaceful and happy,"calm, happy",
2,i feel chill,calm,
2,calm tired,"calm, tired",
2,still,calm,
2,content but anxious,"calm, anxious",
2,calm and content,calm,
2,feel relaxed,calm,
2,relaxed  happy,"calm, happy",
2,calm and bored,"calm, bored",
2,calm but tired,"calm, tired",
2,content and calm,calm,
2,calm before the storm,calm,
2,calm and focused,"calm, determined",
205,lonely,lonely,
23,alone,lonely,
8,unloved,lonely,
5,unwanted,lonely,
5,i feel lonely,lonely,
4,abandoned,lonely,
4,isolated,lonely,
3,rejected,lonely,
3,kind of lonely,lonely,
2,i feel lonely restless bad about my body,"lonely, uneasy, distortion",
2,a bit lonely,lonely,
2,im lonely,lonely,
2,lonly,lonely,
1,lonely sad depressed,"lonely, sad, depressed",
1,feeling lonely,lonely,
1,i have an unwanted house guest,lonely,
1,alone bad worthless,"lonely, depressed, sad",
1,a bit lonely and contemplative,lonely,
1,left out,lonely,
1,feeling a little lonely,lonely,
1,lonely  hopelss,"lonely, depressed",
1,feel lonely and bored,"lonely, bored",
1,lonely and heart broken,"lonely, pain, sad",
1,im lonely and sad,"lonely, sad",
1,loneley,lonely,
1,alone upset sad lost empty,"lonely, sad, disconnected",
1,very lonely,lonely,
1,i feel alone and like nothing has a purpose anymore,"lonely, depressed",
1,i feel a little lonely,lonely,
1,im feeling kind of lonely,lonely,
1,lonely  broken down,"lonely, pain, sad",
1,lonely and sluggish,"lonely, tired",
1,lonely  hopeless  boring,"lonely, depressed, bored",
1,a little lonely but okay,"lonely, okay",
1,lonely but good about exercising,"lonely, good",
1,not lonely though alone taking some much needed time to myself i was with people most of the day and have another gathering then event tonight,lonely,
1,lonely and like the world is against me,lonely,
1,lonely ignored upset,"lonely, ignored, upset",
1,alone but its ok,lonely,
1,i am feeling alone,lonely,
1,i feel lonely and i miss the guy,"lonely, loss",
1,feeling lonely and worthless,lonely,
1,i guess i feel a little saddown i feel like im not achieving much in life a little bit lonely,lonely,
1,mostly lonely,lonely,
1,lonely not calm focused not quite here,"lonely, disconnected",
1,alone real hungry,"lonely, hungry",
1,a little lonely,lonely,
1,suddenly felt very alone,lonely,
1,very sensitve kinda lonely and achy,"lonely, pain, emotional",
1,alone and sad,"lonely, sad",
1,kinda lonely,lonely,
1,i feel alone like im a loser because i have anxiety everywhere i go and with whatever i do  i feel like my life is meaningless like im useless to the world,"lonely, anxious",
1,lonely and bored,"lonely, bored",
1,i feel lonely and sad empty,"lonely, sad, disconnected",
1,lonely and hungry,"lonely, hungry",
1,im lonely and depressed,"lonely, depressed",
1,a bit lonely  but okay,"lonely, okay",
1,lonely and content,"lonely, calm",
1,lonely sad,"lonely, sad",
1,lonely frustrated and unmotivated,"lonely, annoyed, unmotivated ",
1,alone and boring and hurts,"lonely, bored, pain",
1,isolated lonely sad,"lonely, sad",
1,lonely fat depressed,"lonely, distortion, depressed",
1,lonely ,lonely,
1,i guess kind of lonely,lonely,
1,lonely tired,"lonely, tired",
1,i feel lonely and stressed,"lonely, stress",
1,i am lonely and sad,"lonely, sad",
1,i feel a little bit lonely,lonely,
1,lonley,lonely,
1,i am feeling very lonely and sad i feel homesick,"lonely, sad, loss",
1,unexpectedly home alone being productive surprisingly unperturbed,determined,
1,unwanted and like ill never be good enough,"lonely, depressed",
1,lonely and sad,"lonely, sad",
1,lonely and depressed,"lonely, depressed",
1,feel lonely and powerless,lonely,
1,i feel very much unloved and i dont understand why,lonely,
1,a bit lonely but im alright,lonely,
1,lonely and loved,"lonely, loved",
1,today i felt a little bit lonely,lonely,
1,lonely and physically uncomfortable,"lonely, pain",
1,lonely and a little empty,"lonely, disconnected",
1,lonely confused,"lonely, confused",
1,weepy unwanted thrown away,lonely,
1,alone and bad,"lonely, sad",
1,trilled to be going on vacation starting tomorrow  lonely  socially awkward  bored  worried,"lonely, bored, anxious, excited",
1,i want to have a boyfriend i feel so lonely ,lonely,
1,lonely beer,lonely,
1,im feeling a bit lonely as usual whenever im alone especially after a long day together with andy,lonely,
425,sleepy,sleep,
8,im sleepy,sleep,
3,a little sleepy,sleep,
3,im feeling sleepy,sleep,
2,very sleepy,sleep,
2,sleeping,sleep,
2,feeling sleepy,sleep,
2,i feel sleepy,sleep,
2,sleepy and tired,"sleep, tired",
1,a little sleepy excited to go to bed,"sleep, excited",
1,a little sleepy but up for new challenges,sleep,
1,sleepy relaxed,sleep,
1,im a bit sleepy but overall im good i feel like i was productive again today which feels great,"sleep, great, determined",
1,im very sleepy and unmotivated,"sleep, unmotivated",
1,im sleepy but fine,"sleep, okay",
1,sleepy and sore,"sleep, pain",
1,im sleepy but mostly happy,"sleep, happy",
1,im feeling sleepy and also content,"sleep, calm",
1,sleepy 😂 but good,"sleep, good",
1,sleepy l achy,"sleep, pain",
1,cant sleep,sleep,
1,sleepy  low energy,"sleep, tired",
1,sleepy exhausted,"sleep, tired",
1,sleepy but awake,sleep,
1,i feels sleepy,sleep,
1,sleepy and excited,"sleep, excited",
1,sleepy but content,"sleep, calm",
